CASM-OC Iowa    oxbow:  2010.000
fktrN  1.0000                                                                                   
fktrP  1.0000                                                                                         
fktrS  1.0000                                                                                         
                   Te      Th      I0         N       P       Si      depth   velocit TIS     POCe    wind    salinity
             DOY   C       C       eins/m2    mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
--------------------------------------------------------------------------------------------------------------------
             241  22.250  22.250  73.491      0.940   0.107   9.903   1.200   0.005  24.500   0.384   1.940   0.000
             242  22.450  22.450  76.752      0.939   0.108   9.410   1.200   0.004  31.500   1.111   1.490   0.000
             243  22.400  22.400  56.859      0.939   0.110   9.700   1.200   0.007  36.000   3.638   2.780   0.000
             244  21.600  21.600  55.065      0.939   0.111  11.058   1.200   0.002  35.750   0.986   0.950   0.000
             245  21.300  21.300  54.087      0.939   0.112   9.085   1.200   0.004  37.000   2.015   1.530   0.000
             246  21.800  21.800  76.100      0.939   0.114  10.453   1.200   0.015  36.550   1.470   5.840   0.000
             247  21.700  21.700  80.747      0.939   0.116  12.514   1.200   0.006  33.700   1.215   2.440   0.000
             248  22.400  22.400  65.664      0.939   0.117  10.740   1.200   0.005  36.000   1.135   2.110   0.000
             249  22.500  22.500  62.240      0.939   0.119  10.190   1.200   0.009  51.000   1.547   3.640   0.000
             250  20.550  20.550  78.383      0.939   0.122  10.167   1.200   0.005  38.000   1.983   2.060   0.000
             251  19.400  19.400  71.697      0.939   0.124  11.193   1.200   0.005  55.500   0.742   2.030   0.000
             252  20.050  20.050  48.298      0.940   0.126  11.557   1.200   0.007  80.000   0.694   2.900   0.000
